operator_name,task_type,call_count,kernel_duration_total_us,kernel_duration_total_ms,kernel_duration_avg_us,wait_time_total_us,wait_time_avg_us,total_cost_us,step_kernel_share_percent
aclnnEqScalar_EqualAiCore_Equal,AI_CORE,3583,7686.584000,7.686584,2.145293,283249.857000,79.053826,290936.441000,0.398562795
aclnnUpsampleBilinear2dBackwardV2_UpsampleBilinear2dGrad_UpsampleBilinear2dGrad,AI_CORE,4,7479.810000,7.479810,1869.952500,5.371000,1.342750,7485.181000,0.387841203
aclnnGeScalar_StridedSliceAiCore_StridedSlice,AI_CORE,952,7294.247000,7.294247,7.662024,29524.532000,31.013164,36818.779000,0.378219437
aclnnBatchNormBackward_BNTrainingUpdateGrad_BNTrainingUpdateGrad,AI_CORE,29,7257.057000,7.257057,250.243345,1.504000,0.051862,7258.561000,0.376291071
aclnnMul_StridedSliceAiCore_StridedSlice,AI_CORE,820,6888.287000,6.888287,8.400350,14921.937000,18.197484,21810.224000,0.357169703
aclnnRoll_RollAiCore_Roll,AI_CORE,36,6751.707000,6.751707,187.547417,103.324000,2.870111,6855.031000,0.350087791
aclnnSoftmaxBackward_SoftmaxGrad_SoftmaxGrad,AI_CORE,10,6598.947000,6.598947,659.894700,1.901000,0.190100,6600.848000,0.342166919
aclnnLeScalar_StridedSliceAiCore_StridedSlice,AI_CORE,952,6571.624000,6.571624,6.902966,11709.161000,12.299539,18280.785000,0.340750173
aclnnMatmul_MatMulCommon_MatMulV2,AI_CORE,32,6514.606000,6.514606,203.581438,8.988000,0.280875,6523.594000,0.337793691
aclnnNonzero_NonzeroAiCore_NonZero,AI_CORE,512,6296.286000,6.296286,12.297434,3510.056000,6.855578,9806.342000,0.326473418
aclnnInplaceCopy_TensorMoveAiCore_TensorMove,AI_CORE,146,6190.874000,6.190874,42.403247,25341.835000,173.574212,31532.709000,0.321007621
aclnnAdd_TransposeAiCore_Transpose,AI_CORE,98,6181.399000,6.181399,63.075500,6322.558000,64.515898,12503.957000,0.320516326
aclnnInplaceFillScalar_FillAiCore_Fill,AI_CORE,4867,6134.268000,6.134268,1.260380,440724.173000,90.553559,446858.441000,0.318072502
aclnnMuls_MulAiCore_Mul,AI_CORE,3376,5815.875000,5.815875,1.722712,66689.985000,19.754142,72505.860000,0.301563269
aclnnDivs_ViewCopyAiCore_ViewCopy,AI_CORE,2,5748.065000,5.748065,2874.032500,0.021000,0.010500,5748.086000,0.298047202
aclnnBatchNormBackward_BNTrainingReduceGrad_BNTrainingReduceGrad,AI_CORE,29,5713.384000,5.713384,197.013241,1.713000,0.059069,5715.097000,0.296248932
aclnnSWhere_SelectV2AiCore_SelectV2,AI_CORE,1047,5498.622000,5.498622,5.251788,15294.869000,14.608280,20793.491000,0.285113147
aclnnCat_ConcatD_ConcatD,AI_CORE,135,5455.433000,5.455433,40.410615,614.012000,4.548237,6069.445000,0.282873722
aclnnMaxDim_Max2AiCore_ArgMaxWithValue,AI_CORE,1,5356.113000,5.356113,5356.113000,0.091000,0.091000,5356.204000,0.277723807
aclnnStack_PackAiCore_Pack,AI_CORE,70,5332.915000,5.332915,76.184500,6607.696000,94.395657,11940.611000,0.276520950
aclnnMul_BroadcastToAiCore_BroadcastTo,AI_CORE,826,4771.064000,4.771064,5.776107,4841.755000,5.861689,9612.819000,0.247387995
aclnnConvolutionBackward_ReduceSumOpAiCore_ReduceSum,AI_CORE,70,4667.788000,4.667788,66.682686,83.732000,1.196171,4751.520000,0.242032954
aclnnSoftmax_SoftmaxAiCore_SoftmaxV2,AI_CORE,10,4655.626000,4.655626,465.562600,0.415000,0.041500,4656.041000,0.241402333
aclnnRelu_Relu_Relu,AI_CORE,60,4613.472000,4.613472,76.891200,529.840000,8.830667,5143.312000,0.239216575
aclnnConvolutionBackward_TransposeAiCore_Transpose,AI_CORE,12,4465.230000,4.465230,372.102500,9.174000,0.764500,4474.404000,0.231529968
aclnnBatchNorm_BatchNormV3_BatchNormV3,AI_CORE,29,4377.873000,4.377873,150.961138,22.671000,0.781759,4400.544000,0.227000355
allreduceAicpuKernel,HCCL,13,4344.831000,4.344831,334.217769,390.579000,30.044538,4735.410000,0.225287070
aclnnUpsampleBilinear2d_ResizeBilinearV2AICORE_ResizeBilinearV2,AI_CORE,2,4301.455000,4.301455,2150.727500,0.154000,0.077000,4301.609000,0.223037949
aclnnMuls_StridedSliceAiCore_StridedSlice,AI_CORE,531,4201.229000,4.201229,7.911919,41398.780000,77.963804,45600.009000,0.217841056
aclnnSubs_StridedSliceAiCore_StridedSlice,AI_CORE,480,4039.093000,4.039093,8.414777,36567.780000,76.182875,40606.873000,0.209434021
aclnnLayerNormBackward_LayerNormGradV3_LayerNormGradV3,AI_CORE,51,3977.283000,3.977283,77.985941,648.940000,12.724314,4626.223000,0.206229065
aclnnInplaceLerps_Lerp_Lerp,AI_CORE,543,3937.480000,3.937480,7.251344,2811.768000,5.178210,6749.248000,0.204165210
aclnnRepeat_TileAiCore_Tile,AI_CORE,19,3819.944000,3.819944,201.049684,1179.882000,62.099053,4999.826000,0.198070763
aclnnNonzero_NonzeroAiCore_MemSet,AI_CORE,512,3442.694000,3.442694,6.724012,37235.690000,72.725957,40678.384000,0.178509692
aclnnAdds_AddAiCore_Add,AI_CORE,1442,3355.041000,3.355041,2.326658,39906.286000,27.674262,43261.327000,0.173964731
aclnnAny_ReduceAny_ReduceAny,AI_CORE,689,3235.138000,3.235138,4.695411,22859.966000,33.178470,26095.104000,0.167747551
aclnnGtScalar_GreaterAiCore_Greater,AI_CORE,1492,3168.819000,3.168819,2.123873,88507.217000,59.321191,91676.036000,0.164308795
aclnnCast_CastAiCore_Cast,AI_CORE,950,3156.486000,3.156486,3.322617,13244.490000,13.941568,16400.976000,0.163669308
aclnnIndexPutImpl_TransposeAiCore_Transpose,AI_CORE,64,3148.376000,3.148376,49.193375,730.877000,11.419953,3879.253000,0.163248790
aclnnMatmul_MatMulV3Common_MatMulV3,AI_CORE,5,3017.600000,3.017600,603.520000,6.182000,1.236400,3023.782000,0.156467826
Cdist1,AI_CORE,232,2988.023000,2.988023,12.879409,24726.603000,106.580185,27714.626000,0.154934207
aclnnNanToNum_NanToNumAiCore_NanToNum,AI_CORE,268,2962.081000,2.962081,11.052541,6283.103000,23.444414,9245.184000,0.153589069
aclnnContiguous_TransposeAiCore_Transpose,AI_CORE,17,2910.202000,2.910202,171.188353,1603.660000,94.332941,4513.862000,0.150899053
aclnnUpsampleNearest2dV2_TransDataSpecial_TransData,AI_CORE,4,2815.044000,2.815044,703.761000,0.369000,0.092250,2815.413000,0.145964944
aclnnMatmul_TransposeAiCore_Transpose,AI_CORE,9,2670.727000,2.670727,296.747444,713.451000,79.272333,3384.178000,0.138481856
aclnnLayerNormWithImplMode_LayerNormV3WithImplMode_LayerNormV3,AI_CORE,51,2658.825000,2.658825,52.133824,1095.149000,21.473510,3753.974000,0.137864717
aclnnInplaceBitwiseOrTensor_LogicalOrAiCore_LogicalOr,AI_CORE,2048,2471.127000,2.471127,1.206605,26540.657000,12.959305,29011.784000,0.128132248
aclnnNeg_NegAiCore_Neg,AI_CORE,782,2455.167000,2.455167,3.139600,20439.076000,26.136926,22894.243000,0.127304694
aclnnIsFinite_IsFiniteAiCore_IsFinite,AI_CORE,260,2434.190000,2.434190,9.362269,15495.724000,59.598938,17929.914000,0.126217000
aclnnForeachAddListV2_ForeachAddListV2_ForeachAddList,AI_CORE,108,2311.075000,2.311075,21.398843,9205.831000,85.239176,11516.906000,0.119833272
aclnnUpsampleNearest2dV2_TransData_TransData,AI_CORE,2,2301.714000,2.301714,1150.857000,0.184000,0.092000,2301.898000,0.119347888
aclnnReduceSum_CastAiCore_Cast,AI_CORE,958,2292.100000,2.292100,2.392589,17039.134000,17.786152,19331.234000,0.118849385
aclnnBatchMatMul_BatchMatMulNd_MemSet,AI_CORE,280,2253.754000,2.253754,8.049121,10616.729000,37.916889,12870.483000,0.116861078
aclnnGridSampler2D_GridSample_GridSample,AI_CORE,1,2085.178000,2.085178,2085.178000,0.066000,0.066000,2085.244000,0.108120118
aclnnUpsampleBilinear2d_UpsampleBilinear2dNcdhw_UpsampleBilinear2d,AI_CORE,2,2052.039000,2.052039,1026.019500,1.900000,0.950000,2053.939000,0.106401803
aclnnConvolutionBackward_TransDataFzToDst_TransData,AI_CORE,36,1988.719000,1.988719,55.242194,1.763000,0.048972,1990.482000,0.103118551
aclnnDivs_RealDivAiCore_RealDiv,AI_CORE,110,1937.023000,1.937023,17.609300,13163.682000,119.669836,15100.705000,0.100438023
aclnnMean_TransposeAiCore_Transpose,AI_CORE,1,1913.322000,1.913322,1913.322000,0.524000,0.524000,1913.846000,0.099209085
